Player,TEAM,AGE,GP,MIN,FGA,FTA,FGM3,FGA3,PTS,BLK,STL,AST,TOV,REB.Chances,Opp.FGA.at.Rim,Opp.FGPer.at.Rim,RAFGA,Passes.Made.per.Game,Touches.per.Game,AO,SecondAST,FTAst,AST.PTS.Created,Drive.PTS,Catch.Shoot.PTS,Pull.Up.PTS,Paint.Touch.PTS,Post.Touch.PTS,Elbow.Touch.PTS
Alonzo Gee,NOP,28,56,21.5,3.2,0.7,0.3,0.9,3.9,0.2,0.9,0.9,0.7,6.7,1.9,55.1,1.8,16.1,20.9,1.6,0.3,0.1,2.3,0.7,0.9,0.1,0.5,0.5,0
Amar'e Stoudemire,MIA,33,28,14.4,4.1,1.5,0,0,5.3,0.8,0.3,0.8,1,8.5,3.1,48.3,3.1,14,20.5,1.4,0.1,0,1.7,0,0.3,0.2,2.3,2.9,0.3
Amir Johnson,BOS,28,55,22.9,5.5,1.4,0.2,0.7,7.3,1,0.7,1.7,1.2,12.7,5.8,48.9,3.5,32.3,40.4,3,0.7,0.2,3.9,0.4,0.5,0.2,3,3.2,0.2
Anderson Varejao,GSW,33,31,10,2.5,0.7,0,0,2.6,0.2,0.4,0.6,0.5,6.1,2.2,57.4,0.8,15.8,19.6,1.5,0.2,0,1.6,0.2,0.8,0.1,0.5,0.5,1.1
Andre Drummond,DET,22,57,33.8,13.6,7.8,0,0.1,16.9,1.5,1.6,0.8,2.1,22.6,9.1,52.4,9.6,27.8,46.3,2.1,0.4,0.1,2.1,0.5,0.4,0.3,6.3,7.1,0.5
Andre Iguodala,GSW,32,54,27.2,6,1.4,0.9,2.6,7.5,0.3,1.2,3.5,1.3,6.4,1.9,59,2,33.7,43.3,6.3,1.1,0.4,8.8,0.6,2.5,1.1,0.9,0.8,0.1
Andre Miller,MIN,39,26,10.8,2.2,0.7,0,0.2,3.4,0,0.3,2.2,1,2.1,0.5,69.2,1.4,19.2,24.3,4.4,0.3,0.2,5.4,1.3,0.1,0.7,0.5,0.6,0
Andre Roberson,OKC,24,45,21.7,4.1,0.8,0.4,1.4,4.9,0.7,0.9,0.8,0.6,6.6,2,49.4,2.5,12.8,18.3,1.6,0.3,0.1,1.9,0.4,1,0.1,1,1.2,0.2
Andrea Bargnani,BKN,30,46,13.8,6.1,1.2,0.1,0.3,6.6,0.2,0.1,0.4,0.6,4,2,65.6,1,15.7,23.1,0.7,0.2,0,1,0.5,3.3,1,0.7,0.6,1.6
Andrew Bogut,GSW,31,47,20.9,4.1,0.8,0,0,5.3,1.8,0.4,2.1,1.1,12,7,43,3.1,31,37.2,3.9,0.8,0.1,5.1,0.1,0.1,0.1,2.8,3,0.2
Andrew Nicholson,ORL,26,36,15.3,5.4,0.9,0.7,2,6.1,0.4,0.2,0.3,0.8,7.1,2.5,51.7,1.6,15.3,22.5,0.9,0.2,0,0.9,0.6,2.2,0.3,0.7,1.1,0
Andrew Wiggins,MIN,21,56,35.1,16.4,7.4,0.6,2.3,20.7,0.6,0.8,1.9,2.1,7.7,2.4,54,6,23.7,47.1,4.1,0.7,0.2,4.3,4.1,2.1,4,2.1,2.5,2.2
Anthony Bennett,TOR,22,17,4.7,1.5,0.6,0.1,0.8,1.5,0,0.3,0,0.2,1.9,0.5,100,0.6,7.9,9.8,0.2,0.1,0,0,0.1,0.4,0,0.4,0.4,0
Anthony Brown,LAL,23,25,19,4,0.7,0.7,2.3,3.8,0.2,0.4,0.5,0.6,4.4,1.5,70.3,0.6,14.2,19.6,1.5,0.2,0,1.2,0.4,2.1,0.7,0,0,0
Anthony Davis,NOP,22,50,35.7,18.2,6.9,0.5,1.6,24,2.2,1.3,1.9,2,15.6,6.3,47.9,6.4,43.4,67.8,3.9,0.3,0.2,4.6,1.1,4.9,2.5,5.2,5.2,3.3
Anthony Morrow,OKC,30,50,14.4,5,0.4,1.2,3,5.5,0.1,0.4,0.3,0.2,1.7,0.9,54.5,0.4,7.6,13.1,0.7,0,0.1,0.8,0.3,3.3,1.1,0,0.1,0.1
Anthony Tolliver,DET,30,55,19.8,4.7,0.7,1.4,3.8,5.4,0.2,0.4,0.8,0.4,6.9,2.6,50.3,0.5,25.5,31.5,2,0.2,0.1,2,0.2,4.3,0,0.2,0.1,0.1
Archie Goodwin,PHX,21,37,20.9,7.9,3.8,0.5,1.8,9.6,0.2,0.5,2.2,1.9,5.1,1.1,57.5,4.7,32.4,46.1,4.1,0.7,0.2,5.4,3.2,0.9,1.1,0.5,0.8,0.2
Aron Baynes,DET,29,56,14.3,4.5,1.7,0,0,5.6,0.6,0.3,0.7,0.9,9.4,4.9,49.8,2.6,11.2,17.2,1.6,0.2,0.1,1.8,0,0.7,0.1,2.6,2.8,0.4
Arron Afflalo,NYK,30,50,34.3,12.1,2,1.4,3.6,14.1,0.2,0.4,2,1.1,5.9,1.1,61.4,2.1,39.1,54.5,4.6,0.8,0.4,4.7,1.5,4,4.9,0.9,1.2,1.1
Austin Rivers,LAC,23,46,21.6,7.3,1.3,0.7,2.5,8.1,0.2,0.7,1.3,0.9,3.7,1.3,41.4,2.7,27.2,37.7,3,0.5,0.1,3.3,2.8,1.8,1.6,0.6,0.5,0.2
Avery Bradley,BOS,25,53,33.1,13.5,1.4,2.2,5.8,15.3,0.2,1.5,2.1,1.5,5.1,1.5,52.6,2.8,22.3,39,3.9,0.7,0.2,4.9,0.8,6.5,3.7,1.2,1.3,0.8
Ben McLemore,SAC,23,51,20.9,6.2,1.6,0.9,2.5,7.6,0.1,0.8,1.2,1.5,4.5,1.5,60,2.2,14.4,23.2,1.9,0.2,0.1,2.9,1.1,2.8,0.7,0.5,0.5,0.5
Beno Udrih,MIA,33,44,16.1,4.5,0.5,0.3,1,4.7,0,0.3,2.6,1.2,3,1,57.1,1,32.7,40.6,5.5,0.7,0.3,5.9,0.9,1.1,2,0.1,0.2,0
Bismack Biyombo,TOR,23,55,22.2,3.4,2.8,0,0,5.4,1.5,0.2,0.3,1,14.3,6.7,45,2.6,22.8,28.7,0.8,0.2,0.1,0.6,0,0.2,0.1,2.8,3.1,0.2
Blake Griffin,LAC,26,30,34.9,18.4,5.9,0.2,0.6,23.2,0.6,0.7,5,2.4,14.5,4.8,56.6,6.9,62.5,90,9.4,0.6,0.2,12.1,3.7,5.9,2.7,3.1,3.2,3.2
Boban Marjanovic,SAS,27,36,8.5,3.1,2.3,0,0,5.6,0.4,0.3,0.4,0.6,5.4,2.5,44.9,2.1,8.2,12.8,0.6,0.1,0,0.8,0,0.2,0.1,3,3.2,0.2
Bobby Portis,CHI,21,35,16.9,7.1,1.1,0.3,0.8,7.5,0.4,0.5,0.6,1,10.4,3.7,47.7,2.6,21.1,30.5,1.3,0.2,0,1.5,0.3,2.1,0.5,1.2,1.3,0.3
Bojan Bogdanovic,BKN,26,57,26,8.2,1.2,1.4,3.9,9.4,0.1,0.4,1.1,1.2,5.1,2,62.1,2.4,18.6,29.7,2.2,0.2,0.1,2.5,1.4,3.9,1.3,0.3,0.5,0.5
Boris Diaw,SAS,33,56,18.9,5.3,1,0.4,1,6.7,0.3,0.4,2.5,1.2,6.4,3.1,52.6,2.7,31.6,39.4,4.5,0.5,0.2,5.9,1.3,1.4,0.4,1.1,1.8,0.2
Bradley Beal,WAS,22,34,31.2,14.9,3.3,2,5.1,18.3,0.3,0.9,2.9,2.1,6.4,2.1,53.5,3.7,34,53.6,6.2,0.7,0.3,7,3.9,4.6,5.7,0.6,0.6,1
Brandan Wright,MEM,28,9,17.5,4,2,0,0,6,1.2,0.2,0.6,0.8,7,2.9,42.3,2.2,16.1,22.1,1.8,0,0,1.3,0,0.4,0,3.1,2.6,0.4
Branden Dawson,LAC,23,3,4.7,1,0,0,0,0.7,0.3,0,0,0,2,0.3,100,1,2.3,3.3,0,0,0,0,0,0,0,0,0,0
Brandon Bass,LAL,30,50,19.4,4.5,1.9,0,0,6.5,0.9,0.5,1.2,0.7,8.6,3.5,55.9,2.8,18.1,24.8,2.4,0.1,0.1,2.8,0.3,0.6,0.2,2.5,2.5,0.7
Brandon Jennings,ORL,26,26,18.3,6.5,1.9,1.2,3.5,7.4,0.1,0.5,3.2,1.2,3.3,0.7,73.7,1.6,35.8,47,7.5,0.6,0.4,7.9,1.4,1.6,2.9,0,0,0
Brandon Knight,PHX,24,42,36.3,17.3,3.4,2.1,6.2,19.7,0.3,1.3,5.1,3.5,6.6,1.5,64.5,4.8,56.1,82.3,10.2,1,0.4,12.6,4.9,3.5,6.8,0.4,0.4,0.4
Brandon Rush,GSW,30,46,15.6,4,0.5,1,2.3,4.7,0.3,0.3,0.9,0.5,4.9,1.5,51.5,1,15.4,20.5,1.8,0.4,0.1,2.3,0.4,2.8,0.7,0.2,0.2,0
Brian Roberts,POR,30,31,10.9,3.8,1.2,0.3,0.9,4.9,0,0.2,1.2,0.5,1.5,0.5,37.5,0.9,17.5,23.7,2.9,0.6,0.1,3,1.3,0.6,2,0.3,0.3,0.2
Brook Lopez,BKN,27,57,33.8,16.1,5.4,0,0.1,20.6,1.8,0.8,1.7,2.3,14.8,9.8,46,6.1,30.1,52.3,3.6,0.6,0.2,4.1,1.4,3.8,1.3,5.4,6,2.5
Bruno Caboclo,TOR,20,3,1.3,0.7,0,0,0,0,0,0.3,0,0.3,0.3,0,0,0,0.3,1.7,0,0,0,0,0,0,0,0,0,0
Bryce Cotton,PHX,23,3,10.9,2.7,0,0,1,1.3,0,1,1,1.7,1,0.3,0,0.3,17.7,23,2,1,0.3,2.7,0,0,0.7,0.7,0.7,0
Bryce Dejean-Jones,NOP,23,14,19.9,4.9,1.5,0.9,2.3,5.6,0.1,0.7,1.1,0.8,5.2,1.7,45.8,1.7,13.8,20.6,1.5,0.4,0.2,2.6,1.4,1.7,1.7,0.1,0.3,0.1
CJ McCollum,POR,24,55,35,18.3,2.7,2.5,6.1,21.1,0.3,1.2,4.3,2.4,6.2,2,56.8,4,48,72.7,9,1.4,0.6,10.3,4.7,4.9,9,0.3,0.5,0.3
CJ Miles,IND,28,49,24.6,10.3,2.2,2.1,6.1,12,0.4,0.9,1.1,1.2,6.1,2.7,48.5,2.1,21.4,34.5,2.2,0.3,0.2,2.6,1.6,5.4,2.3,0.1,0.2,0.3
CJ Watson,ORL,31,11,17.7,3.8,0.9,0.5,1.5,3.9,0,1,2.4,0.8,3.6,0.9,80,0.8,29.5,36.5,5.5,0.6,0.3,5.7,0.5,1.4,0.7,0,0,0
CJ Wilcox,LAC,25,11,4.3,2.1,0.3,0.3,0.7,1.7,0,0.3,0.4,0.1,0.5,0.2,100,0.3,3,5.5,0.4,0,0,0.9,0,0.5,0.8,0,0,0.2
Cameron Bairstow,CHI,25,15,5.9,2.3,0.4,0,0.3,1.5,0.2,0.1,0.3,0.2,3.4,1.2,33.3,0.9,8.4,11.1,0.6,0.1,0.1,0.7,0.7,0.4,0,0.1,0.3,0.1
Cameron Payne,OKC,21,39,12.1,5,0.4,0.8,2.1,5.5,0.1,0.7,2,0.7,2.6,0.9,55.9,0.9,20,27,3.6,0.3,0.1,4.7,1,1.5,2.4,0.1,0,0.1
Carl Landry,PHI,32,16,11.1,4.6,1.6,0.1,0.2,6.1,0.4,0.3,0.5,0.7,5,1.9,41.9,1.7,10.2,16.7,0.8,0.2,0.1,1.3,0,2.6,0.1,1.4,1.9,0.4
Carmelo Anthony,NYK,31,51,35,17.7,6.2,1.3,4,21.6,0.5,0.9,4.2,2.5,11.4,2,42.7,4.6,42.5,67.3,8.1,0.8,0.4,10.1,2.1,4.4,6.4,1.5,1.4,2.6
Caron Butler,SAC,35,9,9.6,2.9,0.2,0.1,0.9,2.7,0,0.6,0.3,0.2,2.6,1,50,0.2,11.1,15.1,0.8,0.1,0,1,0.3,1.1,0.8,0.3,0.3,0
Chandler Parsons,DAL,27,49,28.4,10,2.2,1.6,3.8,12.8,0.4,0.6,2.4,1.5,7.4,1.4,47.8,3.6,33.2,48,4.9,0.5,0.3,6.2,2.9,3.9,2.2,0.8,1,0.7
Channing Frye,CLE,32,45,16.9,4.2,0.5,1.1,2.7,5.1,0.4,0.5,1,0.7,5.9,2.9,48.4,0.7,22.7,28,1.5,0.3,0.1,2.3,0.1,3.7,0.1,0.5,0.6,0
Charles Hayes,HOU,32,2,11.9,1,1,0,0,2,0,0,1,1.5,7,6.5,23.1,0.5,16.5,19.5,1.5,0,0,2,0,0,0,0,1,0
Charlie Villanueva,DAL,31,46,11.9,5.9,0.4,0.8,3,5.7,0.2,0.3,0.4,0.6,4.2,1.8,58,1.5,14.3,21.4,0.8,0,0,1,1.1,2.2,0.6,0.4,0.4,0.3
Chase Budinger,IND,27,43,15.1,4,1,0.4,1.5,4.4,0.2,0.6,1,0.6,4.3,1.1,53.1,1.5,13.5,19.1,2,0.3,0.3,2.4,0.8,1.3,0.4,0.5,0.6,0.1
Chris Andersen,MEM,37,9,6.3,1.3,0.7,0.2,0.6,2,0.4,0.1,0.4,0.3,4.5,1.8,56.3,0.6,6.3,8.7,0.7,0,0,1,0,0.3,0.3,0.1,0.1,0.2
Chris Bosh,MIA,31,53,33.5,14.5,5.1,1.5,4.2,19.1,0.6,0.7,2.4,1.5,12,5.2,51.3,3.5,43.9,64.1,4.9,0.5,0.1,5.6,2.3,7.3,1.8,2.6,2.4,2.7
Chris Copeland,MIL,31,24,6.5,2.1,0.3,0.4,1.5,2.1,0,0.1,0.5,0.3,1.3,0.9,52.4,0.4,5.3,8.1,0.7,0.1,0,1.1,0.5,1.3,0,0.2,0.2,0
Chris Johnson,UTA,25,47,12.6,2.8,0.7,0.4,1.4,3.2,0.3,0.6,0.8,0.6,3.8,1.1,43.4,0.7,11.6,15.6,1.5,0.1,0.1,1.9,0.5,1.3,0.4,0.1,0.2,0
Chris Kaman,POR,33,9,7.6,3.3,0,0,0.3,2.2,0,0,0.6,0.6,3.2,1.4,61.5,0.9,9.1,13.1,1.1,0.1,0.1,1.4,0,1.3,0,0.4,0.4,0.9
Chris McCullough,BKN,21,4,10.2,3.8,0,0.3,1,2.8,0.3,0.5,0,0.8,3.6,1.5,66.7,0.5,10,14.8,0,0.3,0,0,0,1.8,1,0,0,0
Chris Paul,LAC,30,51,33,15.3,4.3,1.6,4.3,19.5,0.2,2.1,9.5,2.7,7.6,1.7,54.5,2.3,62,87.8,17.5,1.8,1.2,22.4,3.7,1.5,10.1,0.2,0.2,0.6
Christian Wood,PHI,20,14,8.1,3.1,0.9,0.3,0.6,3.6,0.4,0.4,0.2,0.1,5,2.4,38.2,2,10.4,14.4,0.6,0.1,0.1,0.6,0.1,1,0,1,1.1,0.1
Cleanthony Early,NYK,24,10,3.4,0.6,0,0.1,0.4,0.7,0.1,0.1,0.1,0.1,0.4,0.3,33.3,0.3,3.4,4.2,0.4,0,0,0,0,0.3,0,0,0,0
Cliff Alexander,POR,20,7,4.5,1.4,0,0,0,1.4,0.3,0.1,0,0.1,2.1,0.7,20,0.6,5.3,6.9,0.3,0,0,0,0,0,0.3,0.6,0.6,0
Clint Capela,HOU,21,55,20.7,5.3,2.7,0,0,7.2,1.2,0.8,0.7,1,13.2,6.3,50,4.9,23.8,31.9,1.6,0.4,0.1,1.7,0.1,0,0,3.5,3.7,0.4
Cody Zeller,CHA,23,47,24.9,6.6,3.3,0,0.2,9.1,0.7,0.8,0.9,1,12.8,5.7,47.7,4.5,21.5,30.9,2.3,0.4,0.2,2.4,0.6,0.7,0.1,3,2.9,1.1
Cole Aldrich,LAC,27,34,11.7,4,1.8,0,0,5.5,0.8,0.6,1,1,7.5,4,50.4,3.3,18.4,24.6,1.8,0.2,0.1,2.4,0.2,0,0,3.1,2.7,0.4
Corey Brewer,HOU,29,57,21.4,6.9,1.7,0.8,2.9,7.4,0.2,1.1,1.5,1.1,5.6,1.8,63,2.8,15.9,25.4,2.5,0.4,0.3,3.7,1.3,2.5,0.4,0.4,0.5,0.1
Cory Jefferson,PHX,25,8,6.3,2.8,0.8,0,0.1,2.8,0.1,0,0,0,5.4,2.1,41.2,2,6.4,9.4,0.1,0,0,0,0,0,0.3,0.5,0.8,0.5
Cory Joseph,TOR,24,55,25.8,7.2,2.5,0.4,1.3,9,0.3,0.8,3.1,1.3,6,2.1,43.4,2.7,45.7,58.2,6.7,0.7,0.2,7.4,4.5,1,2,0.1,0.1,0.3
Courtney Lee,CHA,30,52,29.1,8.1,1.8,1,2.7,9.9,0.3,1,1.5,1,3.8,1.3,61.5,1.8,26.2,37.3,3.3,0.5,0.1,3.4,1.5,3.6,2.2,0.4,0.4,0.8
Cristiano Felicio,CHI,23,10,4,0.6,0.8,0,0.2,1.2,0.1,0.1,0.8,0.1,3.1,1.3,38.5,0.3,5.7,6.9,1.1,0.3,0,2,0,0.2,0,0.7,0.3,0.6
D'Angelo Russell,LAL,20,56,27.2,11.2,1.8,1.5,4.5,12.1,0.2,1.1,3.4,2.4,7,2,59.3,2.2,46.8,63.6,7.3,0.8,0.4,8,2,3.3,4.3,0.5,0.6,0.4
D.J. Augustin,DEN,28,37,15.9,3.8,1.2,0.8,1.9,4.7,0.1,0.5,2.2,1,2.4,0.7,72,1.1,26.2,33.5,4.5,0.6,0.3,4.9,1.3,1.5,1.2,0,0,0.1
Damian Lillard,POR,25,50,36,19.9,5.9,3.1,8.2,25.1,0.3,1.1,7.2,3.3,8.4,1.5,53.3,6.3,60.3,89.2,13.3,1.3,0.6,17.3,7.4,4.3,8.3,0.4,0.6,0.1
Damien Inglis,MIL,20,8,5.3,1,0.5,0.1,0.6,1,0,0.3,0.3,0.5,1.6,1,62.5,0.4,6,8.4,0.6,0,0.1,0.8,0.3,0.4,0,0,0,0
Damjan Rudez,MIN,29,23,9,2,0.3,0.6,1.5,2.6,0,0,0.4,0.5,1.8,1,47.8,0.4,11.4,14.1,1.1,0,0.1,1,0.1,1.2,0.5,0.5,0.5,0
Danilo Gallinari,DEN,27,51,34.8,13.2,8.3,1.7,4.5,19.8,0.4,0.8,2.5,1.4,9.2,2.6,53.7,4.5,33.3,54.3,5.2,0.4,0.1,5.8,4,4.8,2.5,1.6,1.8,0.6
Danny Green,SAS,28,56,25.8,7.1,0.6,1.5,4.3,7.4,0.8,0.8,1.9,1.1,7.3,2.4,53,1.2,33.4,43,3.5,0.9,0.1,4.2,0.5,4.7,0.9,0.4,0.4,0
Dante Cunningham,NOP,28,54,20.5,3.9,0.5,0.6,1.8,4.3,0.4,0.4,0.6,0.3,5.1,1.9,58.1,1.2,18.4,23.2,1,0.2,0.1,1.6,0.4,2.2,0.2,0.3,0.4,0.1
Darrell Arthur,DEN,27,49,20.5,6.6,0.7,0.4,1.1,7,0.7,0.8,1.3,0.9,8.6,4.1,47.3,1.5,23.1,31.8,2.4,0.2,0.1,3,0.1,3.8,0.7,1,1.3,0.7
Darren Collison,SAC,28,50,28.4,10.2,3.1,1.1,2.9,13.4,0,0.9,3.9,1.7,4.2,0.9,64.3,3.7,41.9,57.3,8.4,1,0.5,9.1,3.1,2.5,3.5,0.3,0.4,0.2
Darrun Hilliard,DET,22,25,9.2,3.1,0.8,0.4,1.1,3.6,0,0.2,0.6,0.6,1.6,0.3,62.5,0.9,7.1,11.4,1.4,0.2,0,1.5,0.8,1.2,0.8,0,0.2,0.1
David Lee,DAL,32,30,15.7,6.4,1.7,0,0,7.1,0.4,0.4,1.8,1.3,9.3,3.6,50,4.3,27.4,36.6,4,0.3,0,4.2,0.7,0.2,0.3,2,2.6,0.8
David West,SAS,35,55,17,5.3,1,0,0.1,6.8,0.6,0.5,1.9,0.9,7.2,3.5,47.4,1.8,21.1,28.5,3.2,0.3,0.1,4.4,0.2,2.4,0.3,1.6,2.1,1
DeAndre Jordan,LAC,27,54,33.9,6.4,7.9,0,0,12.2,2.3,0.6,1.1,1.3,20.7,8,46.9,6.1,41.4,51.7,2.1,0.5,0.2,2.7,0,0,0.1,6,6,0.4
DeJuan Blair,WAS,26,29,7.5,2.3,0.4,0,0,2.1,0.1,0.3,0.4,0.5,4.4,1.6,62.2,1.1,8.6,11.8,0.7,0.1,0,1,0,0.5,0.3,1.1,1.1,0.2
DeMar DeRozan,TOR,26,55,36.1,17.7,8.4,0.6,1.9,23.3,0.3,1,4,2.3,7.8,1.6,66.3,5.5,38.5,64.8,8.6,0.8,0.3,10.3,8.4,2.4,6.1,0.6,0.5,1.5
DeMarcus Cousins,SAC,25,46,34.4,20.5,10.3,1.2,3.3,27.3,1.4,1.3,3.1,3.8,19.3,8.5,47.6,10.4,39.7,70.5,5.9,0.7,0.3,7.5,6,4.8,1.2,5.2,6.2,1.4
DeMarre Carroll,TOR,29,23,31.9,11.1,2.1,1.8,4.8,11.7,0.2,1.7,1,1.2,10.4,2.6,65,3,31.8,46.3,2.2,0.3,0,2.4,1.3,5.1,1.4,0.9,1,0.1
Delon Wright,TOR,23,15,2.9,1,0.4,0.1,0.2,1,0,0.1,0.3,0.2,1.2,0.3,60,0.4,4.5,6.3,0.7,0,0,0.7,0.4,0,0.5,0,0,0
Dennis Schroder,ATL,22,56,21,9.9,2.1,1.1,3.2,11.2,0.1,0.9,4.7,2.2,5.2,1.3,44.4,4.1,40.8,56,9,1.3,0.3,11.3,4.1,2.6,2.8,0.2,0.1,0.1
Deron Williams,DAL,31,48,32.2,12.1,3.1,1.5,4.3,14.4,0.2,0.9,5.5,2.3,5.7,1.6,53.3,2.9,71.9,90.8,11.8,1.3,0.8,13.8,4.6,3.5,3.7,0.4,0.5,0.5
Derrick Favors,UTA,24,39,32.3,13.1,4.6,0,0.1,16.8,1.4,1.2,1.6,1.7,16.3,6.9,45,6,50.3,68.5,3.3,0.5,0.1,4.1,0.3,3.3,0.8,4,5,1.8
Derrick Rose,CHI,27,48,32.2,16.1,3,0.6,2.3,16.5,0.3,0.6,4.8,2.7,6.4,1.8,55.7,5.9,55.1,77.7,9.4,1.3,0.5,11.1,7.4,1.6,4.9,0.4,0.5,0.2
Derrick Williams,NYK,24,57,16.7,6.7,3.4,0.4,1.9,8.7,0.1,0.4,0.8,0.6,5.3,1.1,45.9,2.9,20.4,30.1,1.6,0.3,0.1,2,1.5,1.7,0.9,1.8,1.8,0.8
Devin Booker,PHX,19,51,23.5,8.3,2.5,1.2,3,10.5,0.1,0.5,1.8,1.5,4.7,1.4,61.4,2.1,21.3,33.5,4.1,0.5,0.2,4.5,1.9,3.5,1.8,0.7,0.9,0.7
Devin Harris,DAL,32,41,19.6,5.6,2.2,0.7,2.1,7.4,0.2,0.9,2.1,1,3.7,1.2,67.3,2.5,24.1,33,3.8,0.5,0.3,4.8,1.6,2,0.7,0.4,0.5,0.2
Devyn Marble,ORL,23,8,2.5,0.8,0.1,0,0.3,0.3,0,0.1,0,0.1,0.5,0.1,100,0.3,2.3,3.3,0.4,0,0,0,0.3,0,0,0,0,0
Dewayne Dedmon,ORL,26,33,10.4,2.3,1.1,0,0,3,0.8,0.3,0.2,0.5,6,3.2,40.6,1.6,9.5,12.7,0.7,0,0,0.4,0,0.1,0.1,1.5,1.6,0.3
Dion Waiters,OKC,24,56,28.3,9.1,2,1,2.9,9.6,0.2,1,1.9,1.5,4.5,1.6,56.7,3.1,17.4,30.2,4,0.4,0.2,4.7,2.8,2.6,2.2,0,0,0.3
Dirk Nowitzki,DAL,37,51,31.1,14.2,3.6,1.7,4.4,17.4,0.7,0.7,1.6,1,12,6.7,52.3,1.3,38.3,56.8,3.6,0.7,0.1,4.1,0.3,7.5,3.8,1,1.7,1.4
Donald Sloan,BKN,28,37,20.8,5.2,1.4,0.7,1.6,6.4,0.1,0.5,4,1.4,5.1,1.4,60.4,2.3,43,52.5,7.8,0.7,0.4,9.2,1.9,1.8,1,0.4,0.4,0.3
Donatas Motiejunas,HOU,25,14,13.4,4.4,1,0.5,1.2,5.6,0.1,0.4,1,1.8,4.8,2.7,52.6,1.1,18.1,25.2,1.9,0.3,0.2,2.4,0.3,1.4,0.4,0.9,1.4,0.3
Doug McDermott,CHI,24,54,22.5,7.6,0.5,1.4,3.3,8.7,0.1,0.2,0.6,0.8,4.6,1.9,63.7,2.1,14.6,23.6,1.2,0.2,0,1.5,0.7,4.4,1.5,0.6,0.6,0.3
Draymond Green,GSW,25,54,34.2,10.3,4.1,1.3,3.2,14.1,1.2,1.3,7.3,3,15.1,6.1,44.1,5.6,62.7,79.9,13,1.3,0.8,17.7,2.4,3.8,0.4,2.1,2.2,0.8
Drew Gooden,WAS,34,26,11,3.5,0.5,0.3,1.3,3,0.4,0.3,0.5,0.5,5.5,2.2,50.9,0.8,15.1,19.7,1.1,0.2,0.1,1.3,0.2,1.3,0.2,0.3,0.2,0.1
Dwight Howard,HOU,30,46,32.4,8.7,7.3,0,0.1,14.5,1.5,1.1,1.5,2.5,19.4,7.1,49.1,6.8,40.7,55.3,2.9,0.6,0.2,3.6,0.2,0,0,7.3,8,0.4
Dwight Powell,DAL,24,54,16,4.7,2.4,0,0.2,6.6,0.4,0.5,0.7,0.7,9,3.5,49.2,2.5,23.4,30.5,1.6,0.1,0.1,1.7,0.2,1.2,0.1,3,3.1,0.4
Dwyane Wade,MIA,34,51,30.4,16,5.3,0.1,0.7,18.7,0.5,1,4.7,2.7,7.3,1.5,56,5.5,35.8,59.7,8.8,0.7,0.5,10.7,5.5,1.1,4.4,1.1,1.4,2.2
E'Twaun Moore,CHI,26,43,19.6,5.7,0.7,0.7,1.5,6.7,0.3,0.6,1.3,0.7,4.4,1.5,42.9,1.3,18.8,26.4,2.7,0.6,0.1,3,1.4,1.9,1.8,0.3,0.2,0.3
Ed Davis,POR,26,56,21.2,4.2,2.7,0,0,6.5,0.7,0.6,1.1,0.8,14.6,5,47.7,3.6,26,32.6,2.3,0.3,0,2.7,0.3,0.1,0,2.6,2.4,0.6
Elfrid Payton,ORL,22,51,29.5,10.3,2.7,0.4,1.2,10.7,0.3,1.3,5.8,2.3,7.8,1.6,66.7,4.8,60.1,76.2,11.6,1.3,0.6,13.6,4.4,1.4,1.7,0.6,0.5,0.2
Elijah Millsap,UTA,28,20,8.6,2,0.9,0.1,0.6,1.8,0.2,0.4,1,0.5,3,1,50,1.2,8.2,11.4,1.4,0,0.1,2.5,0.7,0.2,0,0.1,0.2,0.1
Elliot Williams,MEM,26,5,9,2,0.8,0.2,0.8,1.6,0,0,0.8,0.2,1.2,0.2,100,0,17,20.6,1,0.4,0.2,1.4,0,0.4,0.6,0,0,0.4
Emmanuel Mudiay,DEN,19,43,30.1,12.5,3.3,0.8,2.9,11.5,0.6,1.1,5.7,3.5,7.1,2.8,50,4.2,51.1,71.3,10.1,1.1,0.7,13.1,3.3,1.6,3.8,0.2,0.3,0.3
Enes Kanter,OKC,23,56,20.7,8.5,3,0.1,0.2,11.8,0.4,0.2,0.5,1.3,14.7,5.1,51.9,6.1,31.8,43.4,1.1,0.1,0,1.2,0.3,1.4,0.3,3.5,4.2,0.3
Eric Bledsoe,PHX,26,31,34.2,15.9,5.5,1.5,4.2,20.4,0.6,2,6.1,3.5,8.3,2.5,47.4,5.1,61.1,86.8,12.8,1.4,0.5,14.7,6.2,2.2,7.1,0.5,0.4,0.2
Eric Gordon,NOP,27,41,33.4,12.2,2.8,2.5,6.6,14.9,0.3,1,2.7,1.6,4,1.4,59.3,3.2,27.9,44.7,5,0.3,0.3,6.2,3.2,5.5,3.1,0.3,0.2,0.6
Eric Moreland,SAC,24,5,4.9,0.6,0.4,0,0,0.8,0.8,0,0,0,3.3,1,25,0.6,4.8,5.5,0,0,0,0,0,0,0,0.5,0.5,0
Erick Green,UTA,24,9,4.7,1.4,0.2,0.1,0.6,1.4,0,0.1,0.3,0,1.1,0.3,0,0,8.9,10.7,0.8,0.1,0.1,1,0.2,0.3,0.7,0,0,0
