Player,TEAM,AGE,GP,MIN,FGA,FTA,FGM3,FGA3,PTS,BLK,STL,AST,TOV,REB.Chances,Opp.FGA.at.Rim,Opp.FGPer.at.Rim,RAFGA,Passes.Made.per.Game,Touches.per.Game,AO,SecondAST,FTAst,AST.PTS.Created,Drive.PTS,Catch.Shoot.PTS,Pull.Up.PTS,Paint.Touch.PTS,Post.Touch.PTS,Elbow.Touch.PTS
Serge Ibaka,OKC,26,56,32.5,11.2,1.5,0.7,2.1,12.7,2.1,0.4,0.9,1.5,13.6,7.8,42.8,2.9,24.7,38.5,1.7,0.3,0.1,2.4,0.2,6.6,0.5,2.7,2.6,1.7
Sergey Karasev,BKN,22,24,6,1,0.3,0.1,0.5,1.1,0,0,0.3,0.3,2.1,0.7,52.9,0.2,5.3,6.7,0.6,0,0,0.8,0,0.3,0.4,0.1,0.1,0
Seth Curry,SAC,25,26,9.8,2.5,1,0.5,1.2,3.5,0,0.4,0.7,0.5,1.8,0.5,33.3,0.4,8.2,12.1,1.4,0.2,0,1.8,0.6,1.4,0.7,0.2,0.2,0
Shabazz Muhammad,MIN,23,57,20.5,7.9,2.7,0.6,1.8,10,0.1,0.3,0.5,0.8,5.9,1.4,53.8,3.4,10.5,21,1,0.1,0.1,1.2,1.4,2.1,0.5,1.6,2,0.5
Shabazz Napier,ORL,24,44,12.1,4,0.9,0.6,1.9,4,0,0.5,2,1,2.3,0.5,61.9,0.7,21.6,27.9,4.2,0.5,0.1,4.8,0.7,1.3,1.5,0,0,0
Shane Larkin,BKN,23,53,20.5,6,1.1,0.5,1.5,6.6,0.2,1.2,3.8,1.7,4.3,1.5,56.4,1.9,39.4,49.6,8.4,0.6,0.4,8.6,2,0.7,2.5,0.2,0.1,0.2
Shaun Livingston,GSW,30,52,19.1,4.9,1,0,0.2,6.2,0.3,0.6,2.8,1,3.9,1.5,64.1,1.4,32.7,40.3,5.2,0.9,0.3,6.5,0.8,0.3,2.3,1.3,1.5,0.4
Shayne Whittington,IND,24,4,2.4,0.8,0,0,0,1,0.3,0.3,0.5,0.5,1.3,1.3,40,0.8,4.5,5.5,0.8,0.3,0,1,0,0,0,0.5,0.5,0
Shelvin Mack,UTA,25,26,9.1,4.5,0.8,0.2,1.3,4.8,0,0.3,1.8,0.8,2.6,0.4,72.7,1.4,18.7,25.2,3.3,0.2,0.1,4.2,1.8,0.5,1.2,0.4,0.4,0
Solomon Hill,IND,24,33,11.5,2.9,0.7,0.2,0.8,2.9,0.2,0.5,0.8,0.5,4.6,1.5,54.2,1.3,13.8,18.2,1.9,0.2,0.1,1.8,0.6,0.5,0.2,0.5,0.5,0.1
Sonny Weems,PHX,29,34,12.2,2.6,0.4,0.4,1,2.6,0,0.3,1.4,1.1,1.9,0.4,73.3,0.8,13.5,17.8,2.9,0.2,0.2,3.3,0.4,1.3,0.5,0.1,0.2,0.1
Spencer Dinwiddie,DET,22,9,12.3,3.9,2.1,0.1,0.8,4.4,0,0.2,1.4,0.6,1.3,0.2,100,1.3,24.4,31.8,4.6,0.7,0,3.2,2.7,0.2,1.2,0,0,0
Spencer Hawes,CHA,27,47,19.1,5.5,1.2,0.7,2,6.2,0.4,0.4,2,1.1,9,4.5,50.2,1.8,20.1,27.7,3.7,0.4,0.2,4.8,0.3,2.3,0.4,1.5,1.8,0.2
